Nome: Araruama, EstadoID: 19, CodigoIBGE: 3300209
Nome: Araruna, EstadoID: 15, CodigoIBGE: 2501005
Nome: Araruna, EstadoID: 16, CodigoIBGE: 4101705
Nome: Arataca, EstadoID: 5, CodigoIBGE: 2902252
Nome: Aratiba, EstadoID: 21, CodigoIBGE: 4300901
Nome: Aratuba, EstadoID: 6, CodigoIBGE: 2301406
Nome: Aratuípe, EstadoID: 5, CodigoIBGE: 2902302
Nome: Arauá, EstadoID: 26, CodigoIBGE: 2800407
Nome: Araucária, EstadoID: 16, CodigoIBGE: 4101804
Nome: Araújos, EstadoID: 13, CodigoIBGE: 3103900
Nome: Araxá, EstadoID: 13, CodigoIBGE: 3104007
Nome: Arceburgo, EstadoID: 13, CodigoIBGE: 3104106
Nome: Arco-Íris, EstadoID: 25, CodigoIBGE: 3503356
Nome: Arcos, EstadoID: 13, CodigoIBGE: 3104205
Nome: Arcoverde, EstadoID: 17, CodigoIBGE: 2601201
Nome: Areado, EstadoID: 13, CodigoIBGE: 3104304
Nome: Areal, EstadoID: 19, CodigoIBGE: 3300225
Nome: Arealva, EstadoID: 25, CodigoIBGE: 3503406
Nome: Areia, EstadoID: 15, CodigoIBGE: 2501104
Nome: Areia Branca, EstadoID: 20, CodigoIBGE: 2401107
Nome: Areia Branca, EstadoID: 26, CodigoIBGE: 2800506
Nome: Areia de Baraúnas, EstadoID: 15, CodigoIBGE: 2501153
Nome: Areial, EstadoID: 15, CodigoIBGE: 2501203
Nome: Areias, EstadoID: 25, CodigoIBGE: 3503505
Nome: Areiópolis, EstadoID: 25, CodigoIBGE: 3503604
Nome: Arenápolis, EstadoID: 11, CodigoIBGE: 5101308
Nome: Arenópolis, EstadoID: 9, CodigoIBGE: 5202353
Nome: Arês, EstadoID: 20, CodigoIBGE: 2401206
Nome: Argirita, EstadoID: 13, CodigoIBGE: 3104403
Nome: Aricanduva, EstadoID: 13, CodigoIBGE: 3104452
Nome: Arinos, EstadoID: 13, CodigoIBGE: 3104502
Nome: Aripuanã, EstadoID: 11, CodigoIBGE: 5101407
Nome: Ariquemes, EstadoID: 22, CodigoIBGE: 1100023
Nome: Ariranha, EstadoID: 25, CodigoIBGE: 3503703
Nome: Ariranha do Ivaí, EstadoID: 16, CodigoIBGE: 4101853
Nome: Armação dos Búzios, EstadoID: 19, CodigoIBGE: 3300233
Nome: Armazém, EstadoID: 24, CodigoIBGE: 4201505
Nome: Arneiroz, EstadoID: 6, CodigoIBGE: 2301505
Nome: Aroazes, EstadoID: 18, CodigoIBGE: 2200905
Nome: Aroeiras, EstadoID: 15, CodigoIBGE: 2501302
Nome: Aroeiras do Itaim, EstadoID: 18, CodigoIBGE: 2200954
Nome: Arraial, EstadoID: 18, CodigoIBGE: 2201002
Nome: Arraial do Cabo, EstadoID: 19, CodigoIBGE: 3300258
Nome: Arraias, EstadoID: 27, CodigoIBGE: 1702406
Nome: Arroio do Meio, EstadoID: 21, CodigoIBGE: 4301008
Nome: Arroio do Padre, EstadoID: 21, CodigoIBGE: 4301073
Nome: Arroio do Sal, EstadoID: 21, CodigoIBGE: 4301057
Nome: Arroio do Tigre, EstadoID: 21, CodigoIBGE: 4301206
Nome: Arroio dos Ratos, EstadoID: 21, CodigoIBGE: 4301107
Nome: Arroio Grande, EstadoID: 21, CodigoIBGE: 4301305
Nome: Arroio Trinta, EstadoID: 24, CodigoIBGE: 4201604
Nome: Artur Nogueira, EstadoID: 25, CodigoIBGE: 3503802
Nome: Aruanã, EstadoID: 9, CodigoIBGE: 5202502
Nome: Arujá, EstadoID: 25, CodigoIBGE: 3503901
Nome: Arvoredo, EstadoID: 24, CodigoIBGE: 4201653
Nome: Arvorezinha, EstadoID: 21, CodigoIBGE: 4301404
Nome: Ascurra, EstadoID: 24, CodigoIBGE: 4201703
